episode,avg_reward,avg_queue,avg_fairness_penalty
1,-84.14499631549457,79.82928921692152,26.351849673213408
2,-73.4441894942711,75.70280889485787,21.880941484620752
3,-79.40311554689436,102.55214214323752,26.631138382643726
4,-73.27313876475115,96.64439813265368,14.700938741456063
5,-77.78173544202694,107.19535403992897,14.154341232107642
6,-73.1638335850484,99.51284942628108,20.206080884316936
7,-61.48130827018053,83.2118956850868,9.222178667307142
8,-52.75490433632539,60.556002824745356,4.8871741666656145
9,-59.516577900659925,89.71027479417546,10.445060582727727
10,-60.67487439770848,94.73641710112366,8.929249857601135
11,-79.93710378699453,116.34751029244717,7.815704264478583
12,-57.5894439665273,85.92751534205128,12.08909446514502
13,-46.165171460951534,69.12781353497306,5.417663334967621
14,-50.09856658886815,75.56922694358518,7.268716597196972
15,-53.734914655371654,84.44143527891154,8.256902059829967
16,-52.97212732784597,82.56290842211583,8.497236678640114
17,-51.98306527252816,79.25420780394286,4.471243222094292
18,-60.84661219352301,99.90298768385196,9.17877360595448
19,-78.21671900507556,117.23721744007551,5.67883580883406
20,-47.89737037876766,70.39370889203286,5.23328325442257
21,-59.03423470457732,100.22082921926953,8.134085790694503
22,-53.41855606519891,85.04681268972632,7.242939758626229
23,-51.275629260802,85.88165251623678,4.120504784437911
24,-61.695798213843,102.49174092105805,7.0122679479144905
25,-49.997712653220695,75.2825866862138,7.3101775878380595
